Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,1444,SG250064651,1040700445,6.21,5.44
Day 2 (20 June 2026),20 June 2026,261,SG250066388,1040700446,55.74,82.96
Day 2 (20 June 2026),20 June 2026,449,SG250067498,1040700447,47.42,70.64
Day 2 (20 June 2026),20 June 2026,112,SG250069037,1040700449,63.74,92.73
Day 2 (20 June 2026),20 June 2026,979,SG250071283,1040700450,28.03,35.91
Day 2 (20 June 2026),20 June 2026,176,SG250071869,1040700451,60.07,88.53
Day 2 (20 June 2026),20 June 2026,1081,SG250072183,1040700453,23.82,29.23
Day 2 (20 June 2026),20 June 2026,963,SG250074451,1040700454,28.74,36.96
Day 2 (20 June 2026),20 June 2026,17,SG250074494,1040700455,75.39,98.95
Day 2 (20 June 2026),20 June 2026,18,SG250075136,1040700457,75.38,98.89
Day 2 (20 June 2026),20 June 2026,438,SG250080032,1040700460,47.78,71.36
Day 2 (20 June 2026),20 June 2026,339,SG250091970,1040700467,51.76,77.85
Day 2 (20 June 2026),20 June 2026,1452,SG250096529,1040700469,5.57,4.91
Day 2 (20 June 2026),20 June 2026,1013,SG250099519,1040700471,26.48,33.68
Day 2 (20 June 2026),20 June 2026,204,SG250100021,1040700472,58.42,86.7
Day 2 (20 June 2026),20 June 2026,1096,SG250100523,1040700473,23.44,28.24
Day 2 (20 June 2026),20 June 2026,437,SG250102638,1040700475,48.06,71.43
Day 2 (20 June 2026),20 June 2026,880,SG250108050,1040700476,31.79,42.4
Day 2 (20 June 2026),20 June 2026,910,SG250109072,1040700477,30.78,40.43
Day 2 (20 June 2026),20 June 2026,657,SG250109228,1040700478,39.46,57.01
Day 2 (20 June 2026),20 June 2026,1478,SG250116166,1040700485,2.91,3.21
Day 2 (20 June 2026),20 June 2026,1430,SG250116827,1040700486,7.18,6.36
Day 2 (20 June 2026),20 June 2026,1064,SG250117498,1040700487,24.49,30.34
Day 2 (20 June 2026),20 June 2026,544,SG250123604,1040700489,43.44,64.42
Day 2 (20 June 2026),20 June 2026,231,SG250125923,1040700490,57.09,84.93
Day 2 (20 June 2026),20 June 2026,1200,SG250130744,1040700492,19.13,21.43
Day 2 (20 June 2026),20 June 2026,622,SG250132350,1040700493,40.76,59.31
Day 2 (20 June 2026),20 June 2026,1318,SG250133715,1040700494,13.75,13.7
Day 2 (20 June 2026),20 June 2026,1020,SG250141688,1040700496,26.12,33.22
Day 2 (20 June 2026),20 June 2026,1413,SG250143896,1040700498,7.87,7.47
Day 2 (20 June 2026),20 June 2026,448,SG250144355,1040700500,47.43,70.71
Day 2 (20 June 2026),20 June 2026,335,SG250144470,1040700501,51.77,78.11
Day 2 (20 June 2026),20 June 2026,626,SG250144980,1040700502,40.46,59.04
Day 2 (20 June 2026),20 June 2026,132,SG250145740,1040700503,62.08,91.42
Day 2 (20 June 2026),20 June 2026,376,SG250146835,1040700506,50.42,75.43
Day 2 (20 June 2026),20 June 2026,456,SG250000467,1050700513,47.11,70.18
Day 2 (20 June 2026),20 June 2026,689,SG250001000,1050700514,38.43,54.91
Day 2 (20 June 2026),20 June 2026,96,SG250001918,1050700515,65.4,93.77
Day 2 (20 June 2026),20 June 2026,216,SG250001990,1050700516,57.75,85.91
Day 2 (20 June 2026),20 June 2026,598,SG250006251,1050700517,41.47,60.88
Day 2 (20 June 2026),20 June 2026,828,SG250011862,1050700519,33.48,45.81
Day 2 (20 June 2026),20 June 2026,959,SG250012357,1050700520,28.8,37.22
Day 2 (20 June 2026),20 June 2026,1271,SG250015093,1050700521,15.85,16.78
Day 2 (20 June 2026),20 June 2026,51,SG250016537,1050700523,69.4,96.72
Day 2 (20 June 2026),20 June 2026,587,SG250017617,1050700525,41.81,61.6
Day 2 (20 June 2026),20 June 2026,197,SG250019027,1050700526,59.06,87.16
Day 2 (20 June 2026),20 June 2026,1385,SG250019301,1050700527,9.56,9.31
Day 2 (20 June 2026),20 June 2026,120,SG250020037,1050700528,63.08,92.2
Day 2 (20 June 2026),20 June 2026,1406,SG250023132,1050700529,8.22,7.93
Day 2 (20 June 2026),20 June 2026,1453,SG250023730,1050700531,5.57,4.85
Day 2 (20 June 2026),20 June 2026,1328,SG250027721,1050700533,13.46,13.04
Day 2 (20 June 2026),20 June 2026,742,SG250030073,1050700536,36.16,51.44
Day 2 (20 June 2026),20 June 2026,75,SG250030270,1050700537,67.05,95.15
Day 2 (20 June 2026),20 June 2026,1198,SG250034795,1050700538,19.15,21.56
Day 2 (20 June 2026),20 June 2026,217,SG250035266,1050700540,57.75,85.85
Day 2 (20 June 2026),20 June 2026,414,SG250036964,1050700541,48.79,72.94
Day 2 (20 June 2026),20 June 2026,642,SG250039724,1050700545,40.05,57.99
Day 2 (20 June 2026),20 June 2026,417,SG250042126,1050700548,48.78,72.74
Day 2 (20 June 2026),20 June 2026,1082,SG250052779,1050700554,23.82,29.16
Day 2 (20 June 2026),20 June 2026,551,SG250057123,1050700556,43.42,63.96
Day 2 (20 June 2026),20 June 2026,1102,SG250061639,1050700558,23.14,27.85
Day 2 (20 June 2026),20 June 2026,158,SG250065905,1050700560,61.08,89.71
Day 2 (20 June 2026),20 June 2026,1365,SG250066551,1050700561,10.84,10.62
