Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,2033,SG250058179,1020800256,22.86,26.24
Day 2 (20 June 2026),20 June 2026,1183,SG250061194,1020800258,38.15,57.1
Day 2 (20 June 2026),20 June 2026,53,SG250061777,1020800260,68.07,98.11
Day 2 (20 June 2026),20 June 2026,1271,SG250061824,1020800262,36.45,53.9
Day 2 (20 June 2026),20 June 2026,2403,SG250062081,1020800263,13.15,12.81
Day 2 (20 June 2026),20 June 2026,5,SG250066893,1020800265,75.06,99.85
Day 2 (20 June 2026),20 June 2026,1889,SG250067330,1020800266,25.83,31.47
Day 2 (20 June 2026),20 June 2026,733,SG250067747,1020800267,46.46,73.43
Day 2 (20 June 2026),20 June 2026,855,SG250075245,1020800271,44.46,69.0
Day 2 (20 June 2026),20 June 2026,1243,SG250081044,1020800276,37.11,54.92
Day 2 (20 June 2026),20 June 2026,964,SG250084832,1020800280,42.45,65.05
Day 2 (20 June 2026),20 June 2026,1146,SG250089129,1020800284,39.03,58.44
Day 2 (20 June 2026),20 June 2026,1236,SG250089232,1020800285,37.13,55.17
Day 2 (20 June 2026),20 June 2026,992,SG250091263,1020800289,41.79,64.03
Day 2 (20 June 2026),20 June 2026,581,SG250092017,1020800290,49.76,78.95
Day 2 (20 June 2026),20 June 2026,1696,SG250092599,1020800292,29.15,38.48
Day 2 (20 June 2026),20 June 2026,2169,SG250094117,1020800294,19.79,21.31
Day 2 (20 June 2026),20 June 2026,349,SG250095859,1020800297,55.1,87.37
Day 2 (20 June 2026),20 June 2026,1920,SG250096756,1020800298,25.47,30.34
Day 2 (20 June 2026),20 June 2026,126,SG250097466,1020800300,62.76,95.46
Day 2 (20 June 2026),20 June 2026,757,SG250098377,1020800301,46.11,72.56
Day 2 (20 June 2026),20 June 2026,1384,SG250100965,1020800305,34.14,49.8
Day 2 (20 June 2026),20 June 2026,429,SG250106545,1020800312,53.1,84.46
Day 2 (20 June 2026),20 June 2026,2606,SG250107704,1020800314,5.54,5.44
Day 2 (20 June 2026),20 June 2026,1389,SG250111381,1020800315,34.13,49.62
Day 2 (20 June 2026),20 June 2026,1051,SG250116254,1020800317,40.77,61.89
Day 2 (20 June 2026),20 June 2026,2682,SG250116802,1020800318,1.46,2.69
Day 2 (20 June 2026),20 June 2026,1853,SG250125443,1020800324,26.79,32.78
Day 2 (20 June 2026),20 June 2026,1530,SG250129602,1020800328,31.78,44.5
Day 2 (20 June 2026),20 June 2026,714,SG250130502,1020800329,46.79,74.12
Day 2 (20 June 2026),20 June 2026,2605,SG250132737,1020800332,5.55,5.48
Day 2 (20 June 2026),20 June 2026,1749,SG250136908,1020800338,28.36,36.55
Day 2 (20 June 2026),20 June 2026,2177,SG250139476,1020800342,19.5,21.02
Day 2 (20 June 2026),20 June 2026,1366,SG250139655,1020800343,34.46,50.45
Day 2 (20 June 2026),20 June 2026,430,SG250141934,1020800347,53.1,84.43
Day 2 (20 June 2026),20 June 2026,839,SG250143212,1020800350,44.78,69.58
Day 2 (20 June 2026),20 June 2026,395,SG250143784,1020800351,53.78,85.7
Day 2 (20 June 2026),20 June 2026,1886,SG250145408,1020800352,25.85,31.58
Day 2 (20 June 2026),20 June 2026,1862,SG250146815,1020800354,26.46,32.45
Day 2 (20 June 2026),20 June 2026,1913,SG250146943,1020800355,25.5,30.6
Day 2 (20 June 2026),20 June 2026,67,SG250146950,1020800356,67.39,97.6
Day 2 (20 June 2026),20 June 2026,1176,SG250147642,1020800359,38.43,57.35
Day 2 (20 June 2026),20 June 2026,198,SG250006942,1030800361,59.74,92.85
Day 2 (20 June 2026),20 June 2026,257,SG250011262,1030800363,57.44,90.71
Day 2 (20 June 2026),20 June 2026,271,SG250011318,1030800364,57.39,90.2
Day 2 (20 June 2026),20 June 2026,308,SG250015068,1030800367,56.09,88.86
Day 2 (20 June 2026),20 June 2026,1885,SG250016290,1030800369,26.07,31.62
Day 2 (20 June 2026),20 June 2026,1148,SG250016670,1030800370,38.81,58.37
Day 2 (20 June 2026),20 June 2026,1842,SG250019967,1030800371,26.81,33.18
Day 2 (20 June 2026),20 June 2026,829,SG250019978,1030800372,45.09,69.95
Day 2 (20 June 2026),20 June 2026,2545,SG250021877,1030800373,8.23,7.66
Day 2 (20 June 2026),20 June 2026,1100,SG250028620,1030800375,39.77,60.11
Day 2 (20 June 2026),20 June 2026,3,SG250030384,1030800377,76.71,99.93
Day 2 (20 June 2026),20 June 2026,2664,SG250052854,1030800387,2.45,3.34
Day 2 (20 June 2026),20 June 2026,1029,SG250054817,1030800388,41.42,62.69
Day 2 (20 June 2026),20 June 2026,62,SG250059605,1030800393,67.41,97.79
Day 2 (20 June 2026),20 June 2026,1583,SG250061452,1030800396,31.08,42.58
Day 2 (20 June 2026),20 June 2026,2168,SG250063709,1030800400,19.82,21.34
Day 2 (20 June 2026),20 June 2026,1815,SG250066584,1030800401,27.16,34.16
Day 2 (20 June 2026),20 June 2026,309,SG250068638,1030800403,56.09,88.82
Day 2 (20 June 2026),20 June 2026,248,SG250073083,1030800408,57.76,91.03
Day 2 (20 June 2026),20 June 2026,1277,SG250074562,1030800410,36.14,53.68
Day 2 (20 June 2026),20 June 2026,1161,SG250074950,1030800411,38.78,57.89
Day 2 (20 June 2026),20 June 2026,2071,SG250076498,1030800413,22.15,24.86
Day 2 (20 June 2026),20 June 2026,2484,SG250077637,1030800414,10.53,9.87
Day 2 (20 June 2026),20 June 2026,372,SG250085430,1030800419,54.44,86.53
Day 2 (20 June 2026),20 June 2026,1451,SG250086048,1030800420,32.8,47.37
Day 2 (20 June 2026),20 June 2026,1257,SG250089055,1030800421,36.77,54.41
Day 2 (20 June 2026),20 June 2026,1491,SG250093530,1030800425,32.15,45.92
Day 2 (20 June 2026),20 June 2026,2215,SG250093649,1030800427,18.49,19.64
Day 2 (20 June 2026),20 June 2026,1685,SG250095183,1030800428,29.45,38.87
Day 2 (20 June 2026),20 June 2026,892,SG250095667,1030800430,43.79,67.66
Day 2 (20 June 2026),20 June 2026,987,SG250097116,1030800431,42.1,64.21
Day 2 (20 June 2026),20 June 2026,276,SG250100204,1030800432,57.08,90.02
Day 2 (20 June 2026),20 June 2026,443,SG250105906,1030800436,53.06,83.96
Day 2 (20 June 2026),20 June 2026,1032,SG250106001,1030800437,41.13,62.58
Day 2 (20 June 2026),20 June 2026,768,SG250108170,1030800439,46.09,72.16
Day 2 (20 June 2026),20 June 2026,2508,SG250121525,1030800447,9.56,9.0
Day 2 (20 June 2026),20 June 2026,2468,SG250124015,1030800449,11.15,10.45
Day 2 (20 June 2026),20 June 2026,1998,SG250126849,1030800450,23.81,27.51
Day 2 (20 June 2026),20 June 2026,236,SG250127381,1030800451,58.4,91.47
Day 2 (20 June 2026),20 June 2026,2568,SG250127524,1030800452,7.2,6.82
Day 2 (20 June 2026),20 June 2026,2012,SG250133145,1030800454,23.47,27.01
Day 2 (20 June 2026),20 June 2026,1086,SG250142001,1030800455,40.09,60.62
Day 2 (20 June 2026),20 June 2026,1460,SG250145178,1030800456,32.76,47.04
Day 2 (20 June 2026),20 June 2026,2509,SG250146061,1030800457,9.56,8.97
Day 2 (20 June 2026),20 June 2026,993,SG250002659,1040800460,41.79,63.99
Day 2 (20 June 2026),20 June 2026,508,SG250003217,1040800461,51.76,81.6
Day 2 (20 June 2026),20 June 2026,1525,SG250004544,1040800463,31.79,44.68
Day 2 (20 June 2026),20 June 2026,1774,SG250005693,1040800465,28.1,35.64
Day 2 (20 June 2026),20 June 2026,2297,SG250006242,1040800466,16.15,16.66
Day 2 (20 June 2026),20 June 2026,572,SG250008554,1040800467,50.08,79.27
Day 2 (20 June 2026),20 June 2026,1754,SG250008711,1040800468,28.17,36.37
Day 2 (20 June 2026),20 June 2026,132,SG250012082,1040800470,62.74,95.25
Day 2 (20 June 2026),20 June 2026,2318,SG250013558,1040800471,15.47,15.9
Day 2 (20 June 2026),20 June 2026,2452,SG250014942,1040800472,11.55,11.03
Day 2 (20 June 2026),20 June 2026,426,SG250017809,1040800475,53.11,84.57
Day 2 (20 June 2026),20 June 2026,1986,SG250018751,1040800476,24.13,27.95
Day 2 (20 June 2026),20 June 2026,282,SG250018863,1040800477,56.77,89.8
Day 2 (20 June 2026),20 June 2026,2174,SG250022237,1040800481,19.71,21.13
Day 2 (20 June 2026),20 June 2026,1796,SG250022426,1040800482,27.5,34.85
Day 2 (20 June 2026),20 June 2026,2640,SG250022644,1040800484,3.55,4.21
Day 2 (20 June 2026),20 June 2026,448,SG250022931,1040800486,52.77,83.77
Day 2 (20 June 2026),20 June 2026,2352,SG250023330,1040800487,14.41,14.66
Day 2 (20 June 2026),20 June 2026,2587,SG250025129,1040800489,6.54,6.13
Day 2 (20 June 2026),20 June 2026,2343,SG250025913,1040800490,14.82,14.99
