Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,49,SG250045674,1081200493,41.76,86.55
Day 2 (20 June 2026),20 June 2026,231,SG250048499,1081200494,19.8,35.57
Day 2 (20 June 2026),20 June 2026,296,SG250048825,1081200495,9.84,17.37
Day 2 (20 June 2026),20 June 2026,75,SG250055310,1081200497,38.1,79.27
Day 2 (20 June 2026),20 June 2026,158,SG250063167,1081200501,28.09,56.02
Day 2 (20 June 2026),20 June 2026,270,SG250073120,1081200505,13.47,24.65
Day 2 (20 June 2026),20 June 2026,259,SG250086467,1081200507,15.52,27.73
Day 2 (20 June 2026),20 June 2026,84,SG250098337,1081200511,36.44,76.75
Day 2 (20 June 2026),20 June 2026,350,SG250101808,1081200512,-1.82,2.24
Day 2 (20 June 2026),20 June 2026,347,SG250115788,1081200520,-1.54,3.08
Day 2 (20 June 2026),20 June 2026,258,SG250118635,1081200522,15.8,28.01
Day 2 (20 June 2026),20 June 2026,69,SG250118772,1081200523,38.77,80.95
Day 2 (20 June 2026),20 June 2026,125,SG250131793,1081200529,31.73,65.27
Day 2 (20 June 2026),20 June 2026,303,SG250135680,1081200530,8.54,15.41
Day 2 (20 June 2026),20 June 2026,200,SG250140874,1081200531,23.77,44.26
Day 2 (20 June 2026),20 June 2026,109,SG250145618,1081200532,32.75,69.75
Day 2 (20 June 2026),20 June 2026,172,SG250003077,1091200535,26.11,52.1
Day 2 (20 June 2026),20 June 2026,106,SG250003899,1091200537,33.06,70.59
Day 2 (20 June 2026),20 June 2026,164,SG250013564,1091200540,27.15,54.34
Day 2 (20 June 2026),20 June 2026,93,SG250014827,1091200542,35.47,74.23
Day 2 (20 June 2026),20 June 2026,248,SG250018089,1091200543,17.54,30.81
Day 2 (20 June 2026),20 June 2026,122,SG250033541,1091200550,31.76,66.11
Day 2 (20 June 2026),20 June 2026,293,SG250035295,1091200551,10.15,18.21
Day 2 (20 June 2026),20 June 2026,1,SG250059988,1091200560,79.7,100.0
