Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 3 (21 June 2026),21 June 2026,593,SG250074536,1011108976,65.07,93.84
Day 3 (21 June 2026),21 June 2026,4722,SG250075308,1011108979,43.14,50.86
Day 3 (21 June 2026),21 June 2026,4040,SG250077022,1011108982,46.11,57.96
Day 3 (21 June 2026),21 June 2026,1102,SG250078135,1011108983,60.73,88.54
Day 3 (21 June 2026),21 June 2026,4851,SG250081272,1011108985,42.77,49.52
Day 3 (21 June 2026),21 June 2026,8084,SG250081765,1011108988,26.13,15.86
Day 3 (21 June 2026),21 June 2026,1785,SG250081789,1011108989,56.75,81.43
Day 3 (21 June 2026),21 June 2026,811,SG250081792,1011108990,63.04,91.57
Day 3 (21 June 2026),21 June 2026,8979,SG250082019,1011108991,16.2,6.55
Day 3 (21 June 2026),21 June 2026,2705,SG250083399,1011108993,52.09,71.85
Day 3 (21 June 2026),21 June 2026,1857,SG250083961,1011108994,56.38,80.68
Day 3 (21 June 2026),21 June 2026,8533,SG250084196,1011108995,21.85,11.19
Day 3 (21 June 2026),21 June 2026,8829,SG250084351,1011108996,18.19,8.11
Day 3 (21 June 2026),21 June 2026,2958,SG250084871,1011108997,50.79,69.22
Day 3 (21 June 2026),21 June 2026,6400,SG250088138,1011108999,35.82,33.39
Day 3 (21 June 2026),21 June 2026,6510,SG250088891,1011109001,35.16,32.25
Day 3 (21 June 2026),21 June 2026,6036,SG250089551,1011109002,37.49,37.18
Day 3 (21 June 2026),21 June 2026,8962,SG250090228,1011109003,16.21,6.72
Day 3 (21 June 2026),21 June 2026,1636,SG250090940,1011109005,57.71,82.98
Day 3 (21 June 2026),21 June 2026,7729,SG250091286,1011109006,28.44,19.56
Day 3 (21 June 2026),21 June 2026,3579,SG250094766,1011109010,48.13,62.76
Day 3 (21 June 2026),21 June 2026,4852,SG250094768,1011109011,42.77,49.51
Day 3 (21 June 2026),21 June 2026,7889,SG250097921,1011109012,27.43,17.89
Day 3 (21 June 2026),21 June 2026,3254,SG250098427,1011109013,49.72,66.14
Day 3 (21 June 2026),21 June 2026,9405,SG250102308,1011109016,5.57,2.11
Day 3 (21 June 2026),21 June 2026,1271,SG250102446,1011109017,59.72,86.78
Day 3 (21 June 2026),21 June 2026,967,SG250105044,1011109018,61.74,89.94
Day 3 (21 June 2026),21 June 2026,4435,SG250105717,1011109019,44.46,53.85
Day 3 (21 June 2026),21 June 2026,8910,SG250106234,1011109020,17.16,7.27
Day 3 (21 June 2026),21 June 2026,4748,SG250106343,1011109021,43.11,50.59
Day 3 (21 June 2026),21 June 2026,9417,SG250107024,1011109022,5.46,1.99
Day 3 (21 June 2026),21 June 2026,3806,SG250107233,1011109023,47.12,60.39
Day 3 (21 June 2026),21 June 2026,3676,SG250115841,1011109025,47.77,61.75
Day 3 (21 June 2026),21 June 2026,5784,SG250116633,1011109026,38.79,39.8
Day 3 (21 June 2026),21 June 2026,8803,SG250117545,1011109028,18.83,8.38
Day 3 (21 June 2026),21 June 2026,826,SG250119205,1011109030,62.75,91.41
Day 3 (21 June 2026),21 June 2026,2574,SG250120708,1011109031,52.75,73.22
Day 3 (21 June 2026),21 June 2026,2262,SG250121097,1011109032,54.37,76.47
Day 3 (21 June 2026),21 June 2026,8122,SG250121185,1011109033,25.8,15.47
Day 3 (21 June 2026),21 June 2026,1982,SG250121560,1011109035,55.71,79.38
Day 3 (21 June 2026),21 June 2026,9290,SG250123909,1011109036,9.56,3.31
Day 3 (21 June 2026),21 June 2026,4456,SG250124756,1011109037,44.44,53.63
Day 3 (21 June 2026),21 June 2026,5469,SG250125954,1011109038,40.12,43.08
Day 3 (21 June 2026),21 June 2026,5648,SG250126294,1011109039,39.15,41.22
Day 3 (21 June 2026),21 June 2026,3871,SG250127022,1011109040,46.8,59.72
Day 3 (21 June 2026),21 June 2026,8066,SG250128748,1011109042,26.16,16.05
Day 3 (21 June 2026),21 June 2026,8556,SG250128871,1011109043,21.8,10.95
Day 3 (21 June 2026),21 June 2026,303,SG250129302,1011109044,69.06,96.86
Day 3 (21 June 2026),21 June 2026,5045,SG250131284,1011109045,41.79,47.5
Day 3 (21 June 2026),21 June 2026,6641,SG250132369,1011109048,34.77,30.88
Day 3 (21 June 2026),21 June 2026,8594,SG250136231,1011109053,21.51,10.55
Day 3 (21 June 2026),21 June 2026,780,SG250137632,1011109054,63.07,91.89
Day 3 (21 June 2026),21 June 2026,4701,SG250137956,1011109055,43.42,51.08
Day 3 (21 June 2026),21 June 2026,7069,SG250141458,1011109057,32.17,26.43
Day 3 (21 June 2026),21 June 2026,8314,SG250141949,1011109059,24.18,13.47
Day 3 (21 June 2026),21 June 2026,8987,SG250142946,1011109061,16.16,6.46
Day 3 (21 June 2026),21 June 2026,6801,SG250146086,1011109063,33.78,29.22
Day 3 (21 June 2026),21 June 2026,7519,SG250146892,1011109065,29.77,21.74
Day 3 (21 June 2026),21 June 2026,2983,SG250147767,1011109066,50.77,68.96
Day 3 (21 June 2026),21 June 2026,7460,SG250147960,1011109067,30.13,22.36
Day 3 (21 June 2026),21 June 2026,2318,SG250002426,1021100201,54.03,75.88
Day 3 (21 June 2026),21 June 2026,6318,SG250003656,1021100202,36.16,34.25
Day 3 (21 June 2026),21 June 2026,7368,SG250003923,1021100203,30.8,23.32
Day 3 (21 June 2026),21 June 2026,8706,SG250004501,1021100204,20.17,9.39
Day 3 (21 June 2026),21 June 2026,2774,SG250004681,1021100205,51.75,71.14
Day 3 (21 June 2026),21 June 2026,253,SG250005549,1021100206,70.36,97.38
Day 3 (21 June 2026),21 June 2026,2389,SG250005789,1021100207,53.71,75.14
Day 3 (21 June 2026),21 June 2026,7641,SG250005896,1021100208,29.1,20.47
Day 3 (21 June 2026),21 June 2026,4280,SG250006724,1021100209,45.37,55.46
Day 3 (21 June 2026),21 June 2026,8500,SG250006755,1021100210,22.45,11.53
Day 3 (21 June 2026),21 June 2026,5363,SG250007890,1021100211,40.47,44.19
Day 3 (21 June 2026),21 June 2026,8720,SG250007996,1021100212,20.11,9.24
Day 3 (21 June 2026),21 June 2026,1180,SG250008886,1021100213,60.1,87.73
Day 3 (21 June 2026),21 June 2026,2715,SG250009024,1021100214,52.08,71.75
Day 3 (21 June 2026),21 June 2026,4200,SG250010361,1021100215,45.46,56.29
Day 3 (21 June 2026),21 June 2026,4330,SG250010446,1021100216,45.09,54.94
Day 3 (21 June 2026),21 June 2026,8642,SG250011103,1021100217,20.81,10.06
Day 3 (21 June 2026),21 June 2026,4654,SG250011414,1021100218,43.47,51.57
Day 3 (21 June 2026),21 June 2026,6229,SG250011834,1021100219,36.79,35.17
Day 3 (21 June 2026),21 June 2026,5670,SG250012142,1021100220,39.13,40.99
Day 3 (21 June 2026),21 June 2026,2620,SG250012354,1021100221,52.43,72.74
Day 3 (21 June 2026),21 June 2026,6019,SG250012473,1021100222,37.77,37.36
Day 3 (21 June 2026),21 June 2026,3037,SG250013344,1021100223,50.69,68.4
Day 3 (21 June 2026),21 June 2026,9242,SG250013688,1021100224,11.2,3.81
Day 3 (21 June 2026),21 June 2026,4436,SG250013761,1021100225,44.46,53.84
Day 3 (21 June 2026),21 June 2026,3492,SG250014836,1021100226,48.73,63.66
Day 3 (21 June 2026),21 June 2026,6319,SG250015312,1021100227,36.16,34.24
Day 3 (21 June 2026),21 June 2026,2604,SG250016722,1021100228,52.45,72.91
Day 3 (21 June 2026),21 June 2026,6708,SG250017135,1021100229,34.15,30.19
Day 3 (21 June 2026),21 June 2026,2333,SG250017994,1021100230,53.76,75.73
Day 3 (21 June 2026),21 June 2026,5402,SG250018829,1021100231,40.42,43.78
Day 3 (21 June 2026),21 June 2026,1382,SG250019165,1021100233,59.05,85.63
Day 3 (21 June 2026),21 June 2026,220,SG250020383,1021100235,71.04,97.72
Day 3 (21 June 2026),21 June 2026,5846,SG250020796,1021100237,38.46,39.16
Day 3 (21 June 2026),21 June 2026,5111,SG250021357,1021100238,41.48,46.81
Day 3 (21 June 2026),21 June 2026,6859,SG250022164,1021100239,33.49,28.61
Day 3 (21 June 2026),21 June 2026,8178,SG250023509,1021100241,25.46,14.88
Day 3 (21 June 2026),21 June 2026,1221,SG250024967,1021100242,60.05,87.3
Day 3 (21 June 2026),21 June 2026,7140,SG250025484,1021100243,32.13,25.69
Day 3 (21 June 2026),21 June 2026,2976,SG250025643,1021100244,50.78,69.03
Day 3 (21 June 2026),21 June 2026,5029,SG250025848,1021100245,42.03,47.66
Day 3 (21 June 2026),21 June 2026,5683,SG250026586,1021100247,39.12,40.86
Day 3 (21 June 2026),21 June 2026,8712,SG250027569,1021100248,20.15,9.33
Day 3 (21 June 2026),21 June 2026,594,SG250028677,1021100250,65.07,93.83
Day 3 (21 June 2026),21 June 2026,8273,SG250029427,1021100251,24.49,13.9
Day 3 (21 June 2026),21 June 2026,7738,SG250029601,1021100252,28.18,19.46
Day 3 (21 June 2026),21 June 2026,3729,SG250030227,1021100253,47.45,61.19
Day 3 (21 June 2026),21 June 2026,3026,SG250030237,1021100254,50.72,68.51
Day 3 (21 June 2026),21 June 2026,2779,SG250030258,1021100255,51.74,71.08
Day 3 (21 June 2026),21 June 2026,5531,SG250030566,1021100256,39.79,42.44
Day 3 (21 June 2026),21 June 2026,748,SG250031393,1021100257,63.39,92.22
Day 3 (21 June 2026),21 June 2026,2457,SG250031444,1021100258,53.39,74.44
Day 3 (21 June 2026),21 June 2026,3068,SG250032757,1021100259,50.42,68.08
Day 3 (21 June 2026),21 June 2026,8996,SG250035224,1021100261,15.87,6.37
Day 3 (21 June 2026),21 June 2026,768,SG250035566,1021100262,63.09,92.02
Day 3 (21 June 2026),21 June 2026,6446,SG250035834,1021100263,35.76,32.91
Day 3 (21 June 2026),21 June 2026,7527,SG250036250,1021100264,29.51,21.66
Day 3 (21 June 2026),21 June 2026,5448,SG250036493,1021100265,40.13,43.3
Day 3 (21 June 2026),21 June 2026,5449,SG250037943,1021100267,40.13,43.29
Day 3 (21 June 2026),21 June 2026,7209,SG250038998,1021100270,31.74,24.97
Day 3 (21 June 2026),21 June 2026,2805,SG250039593,1021100272,51.7,70.81
Day 3 (21 June 2026),21 June 2026,4104,SG250041341,1021100273,45.8,57.29
Day 3 (21 June 2026),21 June 2026,2875,SG250044795,1021100276,51.39,70.08
Day 3 (21 June 2026),21 June 2026,3684,SG250047426,1021100278,47.76,61.66
